"contrast","estimate","SE","df","z.ratio","p.value"
"(c_norm-0.10291715311238 BA A) - (c_norm-0.236250486445713 BA B)",9.69029736618569,1.56720647056243,Inf,6.18316574631556,6.28286856015302e-10
"(c_norm-0.10291715311238 BA A) - (c_norm-0.203437986445713 BA B)",9.58546730340561,1.55831578153412,Inf,6.15117129467107,7.69127940357739e-10
"(c_norm-0.10291715311238 BA A) - (c_norm-0.10291715311238 BA B)",9.26432123806345,1.53594907132956,Inf,6.03165912919496,1.62284812206339e-09
"(c_norm-0.10291715311238 BA A) - c_norm0.138749513554287 BA B",8.49223950584187,1.5135978380683,Inf,5.61063136604366,2.01589775998078e-08
"(c_norm-0.10291715311238 BA A) - c_norm0.491022240827014 BA B",7.36679121279161,1.5620963030895,Inf,4.71596482126078,2.40568001929984e-06
"(c_norm-0.10291715311238 BA A) - c_norm0.648364898169672 BA B",6.86410959306693,1.61307581885511,Inf,4.25529259866952,2.08775811986173e-05
"c_norm0.138749513554287 BA A - c_norm0.491022240827014 BA A",3.52135337202642,0.781955436076482,Inf,4.50326605528196,6.69170237582306e-06
"c_norm0.138749513554287 BA A - c_norm0.648364898169672 BA A",5.09416629253451,1.13121592861685,Inf,4.50326605528196,6.69170237582306e-06
"c_norm0.138749513554287 BA A - (c_norm-0.236250486445713 AB B)",17.1009464284155,3.01418851250483,Inf,5.67348271598459,1.39923224433529e-08
"c_norm0.138749513554287 BA A - (c_norm-0.203437986445713 AB B)",16.5563823388478,2.93963976586544,Inf,5.63211265920996,1.78015328921642e-08
"c_norm0.138749513554287 BA A - (c_norm-0.10291715311238 AB B)",14.8881145723943,2.72988734585634,Inf,5.45374687164026,4.93193946411735e-08
"c_norm0.138749513554287 BA A - c_norm0.138749513554287 AB B",10.877356833356,2.37602345663262,Inf,4.57796694009567,4.69516873177909e-06
"c_norm0.138749513554287 BA A - c_norm0.491022240827014 AB B",5.03095448648191,2.38200618815759,Inf,2.11206608592953,0.0346807813735819
"c_norm0.138749513554287 BA A - c_norm0.648364898169672 AB B",2.4196581528905,2.58977257312651,Inf,0.934312988715208,0.350142466224079
"c_norm0.138749513554287 BA A - (c_norm-0.236250486445713 BA B)",7.27457322494606,1.37318074442138,Inf,5.29760794746023,1.17329544382116e-07
"c_norm0.138749513554287 BA A - (c_norm-0.203437986445713 BA B)",7.16974316216597,1.36304719741908,Inf,5.26008429916575,1.43989374241315e-07
"c_norm0.138749513554287 BA A - (c_norm-0.10291715311238 BA B)",6.84859709682381,1.33748795314619,Inf,5.12049254777493,3.0473866034327e-07
"c_norm0.138749513554287 BA A - c_norm0.138749513554287 BA B",6.07651536460223,1.31192888042848,Inf,4.63174144212576,3.62602813480753e-06
"c_norm0.138749513554287 BA A - c_norm0.491022240827014 BA B",4.95106707155198,1.36783469989479,Inf,3.61963844895351,0.000295014932711815
"c_norm0.138749513554287 BA A - c_norm0.648364898169672 BA B",4.44838545182729,1.42587864258573,Inf,3.11975039037015,0.0018100435064529
"c_norm0.491022240827014 BA A - c_norm0.648364898169672 BA A",1.57281292050809,0.349260492540366,Inf,4.50326605528196,6.69170237582306e-06
"c_norm0.491022240827014 BA A - (c_norm-0.236250486445713 AB B)",13.5795930563891,3.03785549074862,Inf,4.47012476325615,7.81739821342381e-06
"c_norm0.491022240827014 BA A - (c_norm-0.203437986445713 AB B)",13.0350289668214,2.96434776540586,Inf,4.39726712194198,1.09622400624126e-05
"c_norm0.491022240827014 BA A - (c_norm-0.10291715311238 AB B)",11.3667612003679,2.75794394046751,Inf,4.12146201870988,3.7647554613415e-05
"c_norm0.491022240827014 BA A - c_norm0.138749513554287 AB B",7.35600346132956,2.41224310602261,Inf,3.04944532454625,0.00229264360188256
